HouseType,Price,Size,Bedrooms,Bathrooms,Level,Furnished,Area,City,ElectricityMeter,BuiltinKitchenAppliances,WaterMeter,Elevator,Balcony,NaturalGas,Landline,Security,CentralAC,CoveredParking,PetsAllowed,PrivateGarden,MaidsRoom,Pool,Lat,Long
Apartment,17000,150,3,2,3,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,0,30.093319,31.63791604173324
Duplex,22000,350,3,3,0,0,New Cairo,Cairo,0,0,0,0,1,0,0,0,1,0,0,1,0,0,42.3040807,-74.01013495333201
Apartment,1700,75,2,1,2,1,Madinaty,Cairo,1,1,1,1,1,0,1,1,1,1,0,0,0,0,30.093319,31.63791604173324
Apartment,20000,120,2,2,2,1,Rehab City,Cairo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.063584,31.4889939
Apartment,10000,90,2,1,4,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.063584,31.4889939
Apartment,55000,140,2,2,2,1,Cairo Festival City,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,0,1,30.026992800000002,31.40906325945414
Apartment,1500,120,2,2,6,1,Sheraton,Cairo,1,1,1,1,1,1,1,0,0,0,0,0,0,0,30.107562199999997,31.40870574519208
Apartment,9000,89,2,2,2,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,0,30.093319,31.63791604173324
Apartment,16000,220,3,3,1,0,Al Narges,Cairo,1,0,1,1,1,0,1,1,1,1,0,0,0,0,29.957607,31.7190836
Apartment,35000,250,3,3,3,1,Heliopolis,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30.1005985,31.3329136
Apartment,7000,220,3,3,0,0,New Cairo,Cairo,1,0,1,0,0,0,1,1,0,0,0,0,0,0,42.3040807,-74.01013495333201
Apartment,17000,112,3,2,0,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,1,1,1,1,0,30.063584,31.4889939
Apartment,25000,119,3,2,1,1,Rehab City,Cairo,1,0,1,0,1,1,0,1,0,0,0,0,0,0,30.063584,31.4889939
Apartment,35000,144,2,2,3,0,Lake View,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,1,0,30.0959915,31.642971
Apartment,50000,130,2,2,3,1,Lake View,Cairo,1,1,1,1,1,1,1,1,0,1,1,0,1,1,30.0959915,31.642971
Apartment,25000,119,3,3,1,1,Rehab City,Cairo,1,1,1,1,1,1,1,1,0,0,0,1,0,1,30.063584,31.4889939
Apartment,25000,120,3,1,8,1,Nasr City,Cairo,1,1,1,1,0,1,1,1,1,0,0,0,0,0,30.0521177,31.3422045
Apartment,55000,220,3,4,2,0,Cairo Festival City,Cairo,1,1,1,1,1,1,0,1,1,1,1,0,1,0,30.026992800000002,31.40906325945414
Apartment,15000,135,3,2,2,1,Madinaty,Cairo,1,1,1,1,1,1,1,0,1,0,0,0,0,0,30.093319,31.63791604173324
Apartment,30000,96,2,1,0,1,Rehab City,Cairo,0,1,1,0,1,1,0,1,0,0,0,0,0,0,30.063584,31.4889939
Apartment,16500,67,2,1,0,1,Madinaty,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30.093319,31.63791604173324
Apartment,3000,60,2,1,3,1,Ain Shams,Cairo,1,1,1,0,1,0,0,0,0,0,0,0,0,0,30.1304761,31.3167491
Apartment,16000,150,3,2,2,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.093319,31.63791604173324
