HouseType,Price,Size,Bedrooms,Bathrooms,Level,Furnished,Area,City,ElectricityMeter,BuiltinKitchenAppliances,WaterMeter,Elevator,Balcony,NaturalGas,Landline,Security,CentralAC,CoveredParking,PetsAllowed,PrivateGarden,MaidsRoom,Pool
Apartment,1000,200,3,3,0,1,Rehab City,Cairo,1,1,1,0,1,1,1,1,1,0,0,1,0,0
Apartment,25000,225,3,3,4,1,Heliopolis,Cairo,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Apartment,5800,134,2,1,1,0,Degla Towers,Cairo,1,0,1,1,1,1,0,1,0,1,1,0,0,0
Apartment,18000,90,2,1,2,1,Rehab City,Cairo,0,1,0,1,1,1,0,0,1,0,0,0,0,0
Apartment,13000,81,2,1,0,1,Madinaty,Cairo,1,0,1,1,1,0,1,1,0,0,0,0,0,0
Apartment,1500,140,3,3,6,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Studio,7500,80,1,1,1,1,5th Settlement,Cairo,1,1,1,0,1,1,1,1,1,1,1,0,0,0
Apartment,8500,105,2,2,5,1,Helwan,Cairo,1,0,1,1,0,1,1,0,0,0,0,0,0,0
Duplex,10000,300,4,3,3,0,Maadi,Cairo,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Apartment,7000,170,2,1,4,0,Maadi,Cairo,1,0,1,1,1,0,1,0,0,0,0,0,0,0
Apartment,8500,105,2,1,2,1,Maadi,Cairo,1,1,1,1,1,1,1,0,1,0,0,0,0,0
Apartment,7000,105,2,1,2,1,Zahraa Al Maadi,Cairo,1,1,1,1,1,0,1,0,1,0,0,0,0,0
Apartment,15000,150,3,2,1,1,3rd District,Cairo,1,1,1,1,1,0,1,1,1,1,0,0,0,0
Apartment,20000,103,2,2,3,1,Madinaty,Cairo,0,1,0,1,1,0,0,1,0,0,1,0,0,0
Apartment,1000,150,2,2,3,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apartment,14000,119,3,3,4,0,Rehab City,Cairo,1,0,0,1,1,1,1,1,0,1,1,0,0,0
Apartment,24500,100,2,1,1,1,Rehab City,Cairo,1,1,1,1,0,0,0,1,1,0,1,0,0,0
Apartment,45000,188,3,3,3,0,Villette,Cairo,1,0,1,1,1,0,0,1,0,0,1,0,1,1
Apartment,25000,256,4,4,3,0,Palm Hills New Cairo,Cairo,1,1,1,1,1,0,0,1,0,0,1,0,1,1
